"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"430","9.9555477675401316E-1","2.7547841071167664E-20","1.2011672110564395E-4","-2.5430615120642854E-16","3.5259900352186428E-3","-2.8009566448481777E-16","3.0001317511104002E+0","3.0729337589388797E+0","6.7267657610317055E-1","8.6968184415230405E+2","1.901109735892602E-7"
"429","9.9555954784170175E-1","2.7547471516119220E-20","4.6187044155332420E-4","-7.9547720641499220E-17","3.6038061442459791E-3","2.4463928561743916E-15","3.0001305305772101E+0","3.0719094615486000E+0","6.7245235361239919E-1","8.4090426808559801E+2","1.901109735892602E-7"
"428","9.9556918914863879E-1","2.7546398550997339E-20","7.6018870685662810E-4","-7.1896895946090362E-17","3.7380531918174273E-3","-1.4851345201414654E-14","3.0001283277200899E+0","3.0699885029320697E+0","6.7203184865968268E-1","7.9083849379273704E+2","1.901109735892602E-7"
"427","9.9558263143997350E-1","2.7546341492382287E-20","1.0167086505579062E-3","4.2947964865076553E-16","3.8926925819563374E-3","-6.0899657123167368E-15","3.0001256311408699E+0","3.0675028894008918E+0","6.7148773865574762E-1","7.3272952908317700E+2","1.901109735892602E-7"
"426","9.9559892174787878E-1","2.7546667925634581E-20","1.2393835623798447E-3","5.0031386700767362E-16","4.0487835942996549E-3","-1.3892747976911735E-15","3.0001227267996700E+0","3.0646479089504375E+0","6.7086277286575402E-1","6.7389776114205097E+2","1.901109735892602E-7"
"425","9.9561723977341077E-1","2.7546729919891564E-20","1.4349955587869413E-3","-5.4501277525543715E-16","4.1978374971666692E-3","6.5135267277845659E-16","3.0001197714711298E+0","3.0615371231391033E+0","6.7018181033524993E-1","6.1784960292601602E+2","1.901109735892602E-7"
"424","9.9563691434194612E-1","2.7546754553888386E-20","1.6086368100606920E-3","1.4752735090903591E-17","4.3365030909392373E-3","8.2695357073268050E-17","3.0001168518387198E+0","3.0582417639005364E+0","6.6946044399821747E-1","5.6608060989042701E+2","1.901109735892602E-7"
"423","9.9565742237145971E-1","2.7546772264698765E-20","1.7641425661737722E-3","3.4074504629642897E-16","4.4638776650342046E-3","1.1220693839516273E-16","3.0001140153573602E+0","3.0548094473635765E+0","6.6870909720153882E-1","5.1905157902431904E+2","1.901109735892602E-7"
"422","9.9567837102873313E-1","2.7546769142093695E-20","1.9044676035738799E-3","1.1192992687657490E-16","4.5801997929052823E-3","5.9137918777521021E-16","3.0001112866779001E+0","3.0512733849945128E+0","6.6793504005813642E-1","4.7670362960341299E+2","1.901109735892602E-7"
"421","9.9569947332903974E-1","2.7546773676084296E-20","2.0319371826976722E-3","5.8488320173108304E-16","4.6862060913294458E-3","1.4373563125801014E-16","3.0001086769445102E+0","3.0476574094386621E+0","6.6714348962230063E-1","4.3873326459931701E+2","1.901109735892602E-7"
"420","9.9572052422064294E-1","2.7546775078656879E-20","2.1484124021575648E-3","-8.3861874308523385E-17","4.7828127877575987E-3","1.7696742016259278E-16","3.0001061892924201E+0","3.0439789808211781E+0","6.6633826798006668E-1","4.0473898640994901E+2","1.901109735892602E-7"
"419","9.9574138020877845E-1","2.7546774989331508E-20","2.2554030546765758E-3","4.4926143024419689E-16","4.8709603126679511E-3","-1.0486100440817654E-16","3.0001038221765000E+0","3.0402511048963796E+0","6.6552222213920320E-1","3.7429776740915997E+2","1.901109735892602E-7"
"418","9.9576194320395595E-1","2.7546774838051920E-20","2.3541476787184747E-3","7.0079703316202628E-17","4.9515409736682189E-3","-4.4025036383584082E-17","3.0001015714077899E+0","3.0364836093915146E+0","6.6469750342558809E-1","3.4700305221705298E+2","1.901109735892602E-7"
"417","9.9578214822193256E-1","2.7546774831961883E-20","2.4456721369924724E-3","3.2729315960121727E-16","5.0253690602456618E-3","-2.6958278041743780E-16","3.0000994314025999E+0","3.0326840173315959E+0","6.6386575865724740E-1","3.2248184175807597E+2","1.901109735892602E-7"
"416","9.9580195422765938E-1","2.7547463238968631E-20","2.5308334878806462E-3","-4.9004650607003300E-16","5.0931723314258269E-3","-3.3098674188075349E-14","3.0000973959452599E+0","3.0288581567368680E+0","6.6302826360938849E-1","3.0040062625405000E+2","1.901109735892602E-7"
"415","9.9582133740564516E-1","2.7550414062483343E-20","2.6103534133266534E-3","-8.4504548039651918E-18","5.1555938919379957E-3","-2.0230973540121905E-14","3.0000954586487500E+0","3.0250105931000140E+0","6.6218601768526175E-1","2.8046559090634798E+2","1.901109735892602E-7"
"414","9.9584028624763499E-1","2.7553945939581508E-20","2.6848440375178855E-3","2.3824340223315940E-16","5.2131987257754663E-3","-1.2591685800076607E-14","3.0000936132266500E+0","3.0211449403980990E+0","6.6133981199782566E-1","2.6242006940523203E+2","1.901109735892602E-7"
"413","9.9585879797778676E-1","2.7553673496159127E-20","2.7548280830851763E-3","-9.0403943868399669E-17","5.2664819177386663E-3","-8.1127359875471199E-15","3.0000918536475201E+0","3.0172640875070704E+0","6.6049027893272039E-1","2.4604086423480399E+2","1.901109735892602E-7"
"412","9.9587687595495755E-1","2.7553926928640131E-20","2.8207547611704287E-3","8.3442497505476642E-17","5.3158770860504672E-3","-4.9989381173229842E-15","3.0000901742160599E+0","3.0133703649564505E+0","6.5963792865148574E-1","2.3113427688666599E+2","1.901109735892602E-7"
"411","9.9589452778541854E-1","2.7554101780179540E-20","2.8830124033353923E-3","-3.9569644409819112E-16","5.3617643210311441E-3","-2.7629469005610775E-15","3.0000885696089501E+0","3.0094656690749129E+0","6.5878317626748906E-1","2.1753227501485901E+2","1.901109735892602E-7"
"410","9.9591176395191516E-1","2.7553936040923922E-20","2.9419385826527371E-3","2.9354050018914473E-16","5.4044773407253607E-3","-2.5490848626219621E-15","3.0000870348832800E+0","3.0055515553724743E+0","6.5792636228763157E-1","2.0508898958314001E+2","1.901109735892602E-7"
"409","9.9592859681829915E-1","2.7553415232422443E-20","2.9978282826036949E-3","1.6479744340910688E-16","5.4443097852605515E-3","-2.2605661159868818E-15","3.0000855654685701E+0","3.0016293094738926E+0","6.5706776813993228E-1","1.9367761011728200E+2","1.901109735892602E-7"
"408","9.9594503990788030E-1","2.7553416866894927E-20","3.0509405360886442E-3","3.9603437216798802E-16","5.4815206757464676E-3","-1.6989843294559951E-15","3.0000841571495900E+0","2.9977000015045063E+0","6.5620762807878941E-1","1.8318768307917901E+2","1.901109735892602E-7"
"407","9.9596110738171428E-1","2.7552985255405037E-20","3.1015038565465882E-3","-4.7298663778417376E-17","5.5163391100051737E-3","-1.1165724915965435E-15","3.0000828060442801E+0","2.9937645281600469E+0","6.5534613839421829E-1","1.7352278684300799E+2","1.901109735892602E-7"
"406","9.9597681366328705E-1","2.7553032913029536E-20","3.1497207087737194E-3","4.4168574186810966E-17","5.5489682838074364E-3","-3.9527775768725704E-16","3.0000815085797798E+0","2.9898236455248703E+0","6.5448346459588347E-1","1.6459854383602701E+2","1.901109735892602E-7"
"405","9.9599217317063915E-1","2.7553425012160132E-20","3.1957712111778686E-3","3.5481258283685216E-16","5.5795889273187269E-3","-8.9636505607861278E-16","3.0000802614679301E+0","2.9858779948788539E+0","6.5361974706232429E-1","1.5634092727435299E+2","1.901109735892602E-7"
"404","9.9600720012744792E-1","2.7553559267490419E-20","3.2398162190003634E-3","1.3352429524084147E-16","5.6083622403976787E-3","-7.8746908727077035E-16","3.0000790616815900E+0","2.9819281231457091E+0","6.5275510551716576E-1","1.4868482152607001E+2","1.901109735892602E-7"
"403","9.9602190843221983E-1","2.7553511494654251E-20","3.2819999059243137E-3","4.8761359050997195E-16","5.6354324012973687E-3","-1.0318260081428202E-15","3.0000779064321201E+0","2.9779744992127370E+0","6.5188964260157412E-1","1.4157279845528899E+2","1.901109735892602E-7"
"402","9.9603631157023365E-1","2.7553446533422545E-20","3.3224519368332040E-3","-2.3177766771129957E-16","5.6609287135950268E-3","2.3409555589727052E-16","3.0000767931483701E+0","2.9740175270451239E+0","6.5102344674502410E-1","1.3495407698211099E+2","1.901109735892602E-7"
"401","9.9605042255690912E-1","2.7553448789200445E-20","3.3612893054650547E-3","-4.1376392868242945E-16","5.6849674468920771E-3","1.8017109664919944E-16","3.0000757194573402E+0","2.9700575562931850E+0","6.5015659448726415E-1","1.2878363734863100E+2","1.901109735892602E-7"
"400","9.9606425390421693E-1","2.7553471869847149E-20","3.3986178959541039E-3","1.8111746665971812E-16","5.7076534183540216E-3","1.4166246134282464E-17","3.0000746831664502E+0","2.9660948909250213E+0","6.4928915236803686E-1","1.2302146590520300E+2","1.901109735892602E-7"
"399","9.9607781760389935E-1","2.7553354513213705E-20","3.4345338156635498E-3","-1.0986210329097169E-16","5.7290813548298205E-3","-3.3981571989127924E-16","3.0000736822474399E+0","2.9621297962935507E+0","6.4842117847407832E-1","1.1763190995134700E+2","1.901109735892602E-7"
"398","9.9609112512287024E-1","2.7553358854863525E-20","3.4691245376784413E-3","1.5036675394024338E-16","5.7493370689660796E-3","-8.7068131721000481E-16","3.0000727148217199E+0","2.9581625049542666E+0","6.4755272371264705E-1","1.1258312540590700E+2","1.901109735892602E-7"
"397","9.9610418740734941E-1","2.7553299183387411E-20","3.5024698841251366E-3","-8.1864757425975309E-17","5.7684984773437933E-3","6.1028359967750999E-17","3.0000717791471598E+0","2.9541932214800837E+0","6.4668383286551134E-1","1.0784660288238901E+2","1.901109735892602E-7"
