"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1325","1.0037742106795353E+0","-2.0016658507321817E-20","-9.3725833763515605E-33","7.1271183900808804E-16","1.3793893583205002E-3","1.4838099978372147E-32","3.0001407050388100E+0","3.0477886630573923E+0","6.6717222152535316E-1","9.7879472395073503E+2","1.901109735892602E-7"
"1324","1.0037453867157085E+0","-2.0016658908441346E-20","-6.8153050244264596E-34","1.2894353552476628E-17","1.5541873919831780E-3","-8.9138169397629706E-34","3.0001403196401202E+0","3.0494490457169592E+0","6.6753568543641528E-1","9.7348303211262396E+2","1.901109735892602E-7"
"1323","1.0036929932781422E+0","-2.0016659314365309E-20","1.5884168750707928E-35","-4.9324483679312346E-16","1.8679710328649607E-3","-1.4305615581896355E-35","3.0001395210297899E+0","3.0529159499660046E+0","6.6829460361131610E-1","9.6254186880439499E+2","1.901109735892602E-7"
"1322","1.0036459088181251E+0","-2.0020443716992400E-20","-9.8527417651675525E-27","-9.2871452486154153E-16","2.1459114309491946E-3","-3.0877735300604751E-26","3.0001387019883898E+0","3.0565088700466014E+0","6.6908110711826541E-1","9.5141230600432300E+2","1.901109735892602E-7"
"1321","1.0036027964909868E+0","-2.0021249683322440E-20","-3.4970242569297754E-27","-1.4690701459642799E-15","2.3973004259852928E-3","-8.1834911471125372E-27","3.0001378734895701E+0","3.0601823011500224E+0","6.6988523478616979E-1","9.4024810399416697E+2","1.901109735892602E-7"
"1320","1.0035627912199356E+0","-2.0022242551616136E-20","-1.6564069221105367E-28","-1.1857211157976114E-15","2.6281054988567102E-3","3.6305029617212964E-27","3.0001370415283399E+0","3.0639111783720527E+0","6.7070149981470417E-1","9.2913181559768202E+2","1.901109735892602E-7"
"1319","1.0035253010630014E+0","-2.0022434938500200E-20","-1.0595216058896387E-27","-1.1239834013311507E-16","2.8423879892633254E-3","1.7646065870098773E-27","3.0001362096710400E+0","3.0676803764897160E+0","6.7152659123656411E-1","9.1811123946946395E+2","1.901109735892602E-7"
"1318","1.0034899020103654E+0","-2.0022603331055606E-20","4.8105761711135962E-28","9.7439013984580256E-18","3.0430446846763846E-3","1.6340721921955840E-28","3.0001353801725199E+0","3.0714801234000455E+0","6.7235836990223297E-1","9.0721540046964105E+2","1.901109735892602E-7"
"1317","1.0034562788629178E+0","-2.0022861782106819E-20","-5.2184511381766037E-27","8.4557400807575774E-16","3.2322212418597202E-3","-4.2114134366914193E-28","3.0001345545224400E+0","3.0753037644956409E+0","6.7319537909351501E-1","8.9646239486673005E+2","1.901109735892602E-7"
"1316","1.0034241900938259E+0","-2.0022900534560787E-20","-1.4343260532021632E-26","-1.0991217862324367E-15","3.4115565263589721E-3","-1.2795827934662444E-27","3.0001337337361500E+0","3.0791465755188816E+0","6.7403658465292726E-1","8.8586357886383303E+2","1.901109735892602E-7"
"1315","1.0033934459232376E+0","-2.0023252523215068E-20","-8.2521685578272386E-27","1.2283191136282990E-15","3.5823344353466675E-3","-3.6630730368982304E-28","3.0001329185206100E+0","3.0830050877390529E+0","6.7488122726247479E-1","8.7542593987988300E+2","1.901109735892602E-7"
"1314","1.0033638940577583E+0","-2.0023267781499645E-20","1.0030285562355365E-25","-2.3976467226582360E-16","3.7455823221867043E-3","1.4709018537075468E-27","3.0001321093742499E+0","3.0868766825677594E+0","6.7572873370346376E-1","8.6515355876507999E+2","1.901109735892602E-7"
"1313","1.0033354100808178E+0","-2.0023296497555254E-20","-8.3501556113327498E-24","9.4809611801354142E-17","3.9021371454002946E-3","2.2796154005247939E-26","3.0001313066500299E+0","3.0907593366683486E+0","6.7657866106001019E-1","8.5504850635289904E+2","1.901109735892602E-7"
"1312","1.0033078907773869E+0","-2.0023220764297755E-20","-1.9695828683280502E-26","3.6155965495338341E-15","4.0526913175348601E-3","1.3209497998597039E-28","3.0001305105966498E+0","3.0946514554425488E+0","6.7743066026864918E-1","8.4511144112184195E+2","1.901109735892602E-7"
"1311","1.0032812493735599E+0","-2.0023191971910019E-20","-2.2571247919950309E-27","5.5301071466530185E-16","4.1978253406976165E-3","-4.0328164295355353E-30","3.0001297213864202E+0","3.0985517606565081E+0","6.7828445151925831E-1","8.3534201338215598E+2","1.901109735892602E-7"
"1310","1.0032554120631472E+0","-2.0023162354806879E-20","-7.7494163041738826E-28","4.0223224456771194E-16","4.3380315803509522E-3","-1.9372227211325346E-29","3.0001289391347199E+0","3.1024592124536459E+0","6.7913980718338252E-1","8.2573914109486600E+2","1.901109735892602E-7"
"1309","1.0032303154218767E+0","-2.0023189666460888E-20","-2.8884464024795179E-28","1.6315453124635459E-15","4.4737319386953496E-3","-1.0320842751208386E-30","3.0001281639137698E+0","3.1063729539007578E+0","6.7999653967517093E-1","8.1630121206802698E+2","1.901109735892602E-7"
"1308","1.0032059044479051E+0","-2.0023151462920986E-20","6.9765377050864813E-29","-6.0976320367644689E-16","4.6052912304001842E-3","1.2855066806962529E-29","3.0001273957626702E+0","3.1102922707081788E+0","6.8085449263397135E-1","8.0702622473670999E+2","1.901109735892602E-7"
"1307","1.0031821310532707E+0","-2.0023153862870429E-20","-4.8019211491486048E-29","-1.3726645034810677E-15","4.7330274684119012E-3","-1.5023819512774831E-29","3.0001266346948499E+0","3.1142165614158577E+0","6.8171353439795213E-1","7.9791188958949704E+2","1.901109735892602E-7"
