"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"860","1.0229109684854585E+0","-6.4404734077283692E-22","2.4629330059463871E-3","2.0516944234764240E-17","-1.8682744853697763E-2","-6.2354388902841915E-16","3.0032905513444899E+0","3.1226219146282732E+0","1.7551138044975680E+0","7.9791073474665495E+2","2.528017528540000E-5"
"859","1.0229067527395395E+0","-6.4404115784341393E-22","2.6142043755285416E-3","-1.7692909888659634E-15","-1.8735678299122868E-2","-1.3969409963848343E-15","3.0032861034025902E+0","3.1224192014514900E+0","1.7549998666899649E+0","7.9414320144633803E+2","2.528017528540000E-5"
"858","1.0229022618862165E+0","-6.4396505309419236E-22","2.7649954440402062E-3","-6.9580676726252205E-18","-1.8791238744487397E-2","-2.8673556175540367E-16","3.0032814131802201E+0","3.1222047753923174E+0","1.7548793454911817E+0","7.9018528872483296E+2","2.528017528540000E-5"
"857","1.0228974930669552E+0","-6.4384638015182057E-22","2.9152941704255510E-3","-2.9024609918862919E-16","-1.8849340559444490E-2","-6.4917312643988147E-16","3.0032764847368298E+0","3.1219787125800629E+0","1.7547522836907721E+0","7.8604271701278503E+2","2.528017528540000E-5"
"856","1.0228924433823383E+0","-6.4385563947186087E-22","3.0650903323072745E-3","2.4956748561937285E-16","-1.8909897390261467E-2","-1.9675044302517410E-16","3.0032713221682901E+0","3.1217410868166864E+0","1.7546187227701713E+0","7.8172128801825704E+2","2.528017528540000E-5"
"855","1.0228871099049495E+0","-6.4390711576743383E-22","3.2143754395205708E-3","7.7464698739494525E-16","-1.8972822536286512E-2","6.4096970380734239E-16","3.0032659295898601E+0","3.1214919690048148E+0","1.7544787025812032E+0","7.7722685952696804E+2","2.528017528540000E-5"
"854","1.0228814896915848E+0","-6.4398756189579374E-22","3.3631426392717323E-3","2.7156819937908139E-16","-1.9038029293737092E-2","-8.0632877270551686E-17","3.0032603111207199E+0","3.1212314266330967E+0","1.7543322610568171E+0","7.7256533001409298E+2","2.528017528540000E-5"
"853","1.0228755797947822E+0","-6.4400564414069217E-22","3.5113866150947356E-3","-1.3695706946539367E-15","-1.9105431266484819E-2","-7.7342846461667662E-16","3.0032544708701900E+0","3.1209595233187342E+0","1.7541794339539616E+0","7.6774261209744395E+2","2.528017528540000E-5"
"852","1.0228693772736308E+0","-6.4406056532257594E-22","3.6591034816213998E-3","-2.0171251018599232E-16","-1.9174942644032199E-2","-9.8818443099568545E-16","3.0032484129254899E+0","3.1206763184056063E+0","1.7540202546277026E+0","7.6276462182667603E+2","2.528017528540000E-5"
"851","1.0228628792038397E+0","-6.4412902057172980E-22","3.8062906770434551E-3","-5.6250977826194279E-16","-1.9246478447142654E-2","-5.9432852319141312E-16","3.0032421413411701E+0","3.1203818666187222E+0","1.7538547538370053E+0","7.5763726029042198E+2","2.528017528540000E-5"
"850","1.0228560826871056E+0","-6.4407458117359158E-22","3.9529468547667172E-3","1.7903849767711241E-16","-1.9319954742662408E-2","-6.1533489216467257E-16","3.0032356601299899E+0","3.1200762177689962E+0","1.7536829595787986E+0","7.5236639982805605E+2","2.528017528540000E-5"
"849","1.0228489848597417E+0","-6.4416853370830620E-22","4.0990717757579303E-3","-5.6834098309813751E-16","-1.9395288828553323E-2","-1.5127983639442469E-15","3.0032289732552599E+0","3.1197594165093534E+0","1.7535048969508908E+0","7.4695787233481201E+2","2.528017528540000E-5"
"848","1.0228415829006408E+0","-6.4424415335975651E-22","4.2446662026393699E-3","-2.4718697385169373E-15","-1.9472399391293846E-2","-1.3006803338952441E-15","3.0032220846244599E+0","3.1194315021355790E+0","1.7533205880400335E+0","7.4141745948487596E+2","2.528017528540000E-5"
"847","1.0228338740385605E+0","-6.4429046319689390E-22","4.3897317965758088E-3","4.7593567157914451E-16","-1.9551206637214606E-2","2.8925299107273878E-16","3.0032149980842400E+0","3.1190925084305321E+0","1.7531300518343602E+0","7.3575088287078097E+2","2.528017528540000E-5"
