"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1150","9.7976557861656877E-1","1.4119121624087287E-19","1.2650521249479406E-24","-1.0655241792431318E-16","-1.0073673025873806E-5","3.2134085294206767E-24","3.0036427900842702E+0","2.9891695060397487E+0","1.6801049910834560E+0","1.0466643095277800E+3","2.528017528540000E-5"
"1149","9.7977688367930449E-1","1.4119070759061029E-19","-9.6849202556843172E-25","5.3432522479611596E-17","-8.7289938500164095E-5","-2.1673237114712087E-24","3.0036427840574400E+0","2.9891705292996877E+0","1.6801055662211750E+0","1.0466609147883601E+3","2.528017528540000E-5"
"1148","9.7979386973511029E-1","1.4119037460027191E-19","3.2998044333018514E-25","5.2080730346814026E-16","-2.0316336452331073E-4","-7.0450697492134996E-24","3.0036427570941102E+0","2.9891751072653876E+0","1.6801081393315340E+0","1.0466457327354201E+3","2.528017528540000E-5"
"1147","9.7981088994880416E-1","1.4119053556754507E-19","4.3906841104965460E-25","-2.0776547029698237E-16","-3.1909559665515614E-4","7.8031474142366267E-25","3.0036427086233100E+0","2.9891833370197589E+0","1.6801127649813565E+0","1.0466184354299000E+3","2.528017528540000E-5"
"1146","9.7982794432436682E-1","1.4119145511042943E-19","-3.5211080499370813E-25","-4.7299010524118387E-16","-4.3508660480189325E-4","7.5563033780528656E-24","3.0036426386455402E+0","2.9891952187263446E+0","1.6801194432625635E+0","1.0465790302419500E+3","2.528017528540000E-5"
"1145","9.7984503286540126E-1","1.4119094428281568E-19","-1.8195419997935062E-24","2.4803725527526718E-16","-5.5113635949939361E-4","3.1986694605008779E-24","3.0036425471614900E+0","2.9892107526266281E+0","1.6801281743108847E+0","1.0465275159649600E+3","2.528017528540000E-5"
"1144","9.7965893729656939E-1","1.4119124950983514E-19","-1.4447705162830073E-24","-1.2201992789710249E-16","7.2217480769747142E-4","-2.1833750880143284E-24","3.0036423705963098E+0","2.9892407351002799E+0","1.6801450263841866E+0","1.0464280976958300E+3","2.528017528540000E-5"
"1143","9.7962554544030378E-1","1.4119295961534661E-19","9.4420624758123420E-25","7.7227216648987722E-17","9.5291932973681618E-4","1.6617914459073919E-24","3.0036420589181798E+0","2.9892936671096453E+0","1.6801747775685683E+0","1.0462526160938801E+3","2.528017528540000E-5"
"1142","9.7959228997432513E-1","1.4119396668921591E-19","-1.3780651427389887E-24","3.6463963157386523E-16","1.1834272741804593E-3","-1.3888662235810470E-24","3.0036416612383499E+0","2.9893612159286707E+0","1.6802127443375179E+0","1.0460287457607899E+3","2.528017528540000E-5"
"1141","9.7955917083295263E-1","1.4119384574576897E-19","-2.9732239234596239E-24","-1.1193711581001972E-15","1.4136983354872184E-3","4.9804397139760616E-24","3.0036411775727601E+0","2.9894433870136754E+0","1.6802589297578363E+0","1.0457565158126799E+3","2.528017528540000E-5"
"1140","9.7952618794477320E-1","1.4119312434837441E-19","-9.3280265048572679E-25","-5.4988398578615881E-16","1.6437321955198349E-3","-5.6832176243919331E-25","3.0036406079407998E+0","2.9895401870065190E+0","1.6803133375626744E+0","1.0454359648212701E+3","2.528017528540000E-5"
"1139","9.7949334123267906E-1","1.4119449113900238E-19","-7.5246591334196024E-25","4.4824672666450631E-16","1.8735285231509440E-3","3.6571201521417463E-24","3.0036399523653099E+0","2.9896516237275446E+0","1.6803759721475671E+0","1.0450671381970801E+3","2.528017528540000E-5"
"1138","9.7946063061390343E-1","1.4119411907215150E-19","-5.4924989074194532E-25","-2.7289625491097497E-16","2.1030869738710785E-3","5.9102828265792921E-24","3.0036392108726000E+0","2.9897777061791539E+0","1.6804468385724418E+0","1.0446500860489100E+3","2.528017528540000E-5"
"1137","9.7942805600005467E-1","1.4119433743349124E-19","2.8497944803089639E-25","-9.9389576281823316E-17","2.3324071894030634E-3","-4.9534112472254911E-24","3.0036383834924800E+0","2.9899184445420794E+0","1.6805259425595227E+0","1.0441848658445999E+3","2.528017528540000E-5"
"1136","9.7939561729714686E-1","1.4119368870541285E-19","-2.3990496333903559E-25","7.2604782475464772E-16","2.5614887973093841E-3","5.7815115112603386E-24","3.0036374702582300E+0","2.9900738501752011E+0","1.6806132904932289E+0","1.0436715433210600E+3","2.528017528540000E-5"
"1135","9.7936331440562641E-1","1.4119309988269119E-19","-4.5817412046935700E-25","3.6398330557152849E-16","2.7903314106037989E-3","4.3612878570592819E-25","3.0036364712066401E+0","2.9902439356203119E+0","1.6807088894228526E+0","1.0431101886344700E+3","2.528017528540000E-5"
"1134","9.7933114722039982E-1","1.4119361057345847E-19","3.8941086458711339E-25","-8.6781445485182518E-16","3.0189346273681635E-3","3.5155541798896477E-24","3.0036353863780101E+0","2.9904287145956938E+0","1.6808127470589480E+0","1.0425008796220900E+3","2.528017528540000E-5"
"1133","9.7929911563085614E-1","1.4119314380826435E-19","2.8523631426534429E-25","-2.7090186877857179E-16","3.2472980303591271E-3","3.5549585829552564E-24","3.0036342158161502E+0","2.9906282019987072E+0","1.6809248717747876E+0","1.0418437036724899E+3","2.528017528540000E-5"
"1132","9.7926721952088669E-1","1.4119307800782549E-19","1.6459062314017108E-24","-4.1459266355689135E-16","3.4754211866239288E-3","-3.1815324946889677E-24","3.0036329595684501E+0","2.9908424139043590E+0","1.6810452726055563E+0","1.0411387518798699E+3","2.528017528540000E-5"
"1131","9.7923545876890539E-1","1.4119471440821244E-19","-1.3557114993443096E-24","-8.0871260634937735E-16","3.7033036471122889E-3","2.8367041342290010E-24","3.0036316176858100E+0","2.9910713675648641E+0","1.6811739592481050E+0","1.0403861195176901E+3","2.528017528540000E-5"
"1130","9.7920383324786375E-1","1.4119429990257438E-19","1.1546519965716606E-24","-6.2846004625440278E-16","3.9309449462881195E-3","2.4202213564395549E-24","3.0036301902227400E+0","2.9913150814094673E+0","1.6813109420608516E+0","1.0395859140052100E+3","2.528017528540000E-5"
"1129","9.7917234282526355E-1","1.4119439003858003E-19","-9.8175535187205009E-25","1.8757170529621007E-16","4.1583446017439416E-3","-7.9882204453645433E-25","3.0036286772373200E+0","2.9915735750436561E+0","1.6814562320633377E+0","1.0387382462611499E+3","2.528017528540000E-5"
"1128","9.7914098736317068E-1","1.4119477946330710E-19","-4.4646427923116613E-25","9.3565233860931918E-17","4.3855021138095663E-3","6.8494829259503612E-24","3.0036270787912498E+0","2.9918468692471198E+0","1.6816098409350815E+0","1.0378432312281900E+3","2.528017528540000E-5"
"1127","9.7910976671822114E-1","1.4119469968110677E-19","-2.5947948364669406E-26","-1.0701850218304565E-15","4.6124169651653585E-3","1.7237147567291712E-24","3.0036253949498501E+0","2.9921349859756678E+0","1.6817717810166561E+0","1.0369009969584299E+3","2.528017528540000E-5"
"1126","9.7907868074163085E-1","1.4119361908231281E-19","-1.3104618074639616E-24","-3.8630408315395123E-16","4.8390886204565308E-3","-2.4679393457996461E-24","3.0036236257821201E+0","2.9924379483569696E+0","1.6819420653072950E+0","1.0359116737649099E+3","2.528017528540000E-5"
"1125","9.7904772927919748E-1","1.4119433060395075E-19","9.5076605002569829E-25","-1.4474295749445517E-16","5.0655165258921067E-3","-1.7376380109208431E-24","3.0036217713606899E+0","2.9927557806929657E+0","1.6821207074662476E+0","1.0348754001284999E+3","2.528017528540000E-5"
"1124","9.7901691217130415E-1","1.4119267057204766E-19","2.2229212323497549E-24","-5.0384036190864684E-16","5.2917001088673222E-3","5.9023497513676365E-24","3.0036198317619398E+0","2.9930885084557435E+0","1.6823077218104612E+0","1.0337923176175500E+3","2.528017528540000E-5"
"1123","9.7898622925291945E-1","1.4119142562528766E-19","-1.3621528929435650E-24","-4.1465753368624660E-16","5.5176387775655884E-3","4.7904654816421374E-25","3.0036178070659401E+0","2.9934361582885578E+0","1.6825031233151535E+0","1.0326625802298399E+3","2.528017528540000E-5"
"1122","9.7895568035359437E-1","1.4119078157938986E-19","9.7914763059399113E-25","-3.0016462908549563E-16","5.7433319205617084E-3","-1.5912974587861922E-24","3.0036156973565298E+0","2.9937987580038574E+0","1.6827069276127049E+0","1.0314863434403301E+3","2.528017528540000E-5"
"1121","9.7892526529745938E-1","1.4119042332533738E-19","-8.3836807110126476E-26","1.1330918438871189E-16","5.9687789064337780E-3","-3.1291006821082784E-24","3.0036135027213100E+0","2.9941763365819489E+0","1.6829191509919066E+0","1.0302637727243300E+3","2.528017528540000E-5"
"1120","9.7889498390321661E-1","1.4119019186150105E-19","-2.6580119965000317E-25","3.7596515002173012E-16","6.1939790833682156E-3","-1.7299559069624697E-24","3.0036112232517000E+0","2.9945689241690632E+0","1.6831398103968735E+0","1.0289950377805101E+3","2.528017528540000E-5"
"1119","9.7886483598413077E-1","1.4118906744427298E-19","5.0296061254805142E-25","-1.0583275158810926E-15","6.4189317787564319E-3","2.0533143837828370E-24","3.0036088590429499E+0","2.9949765520771350E+0","1.6833689234269218E+0","1.0276803143398199E+3","2.528017528540000E-5"
"1118","9.7883482134802280E-1","1.4118992093326658E-19","3.1254940777941937E-24","9.4438236249540858E-16","6.6436362988033237E-3","-9.7780391361115306E-25","3.0036064101941999E+0","2.9953992527802584E+0","1.6836065083345746E+0","1.0263197878302101E+3","2.528017528540000E-5"
"1117","9.7880493979724947E-1","1.4119182537582693E-19","1.6865924256343750E-24","1.5406140452593505E-17","6.8680919281200927E-3","1.9968589453253531E-25","3.0036038768084601E+0","2.9958370599152357E+0","1.6838525840258733E+0","1.0249136476137601E+3","2.528017528540000E-5"
"1116","9.7877519112869660E-1","1.4119318084654071E-19","-3.5787489462189541E-26","-3.6479723706235085E-16","7.0922979293315137E-3","-1.3377378630052012E-24","3.0036012589926901E+0","2.9962900082772177E+0","1.6841071700579240E+0","1.0234620873509500E+3","2.528017528540000E-5"
"1115","9.7874557513375682E-1","1.4119461724722312E-19","-2.6907265492794605E-24","-2.6974529149942111E-16","7.3162535426646198E-3","-4.3200938744726707E-24","3.0035985568578298E+0","2.9967581338192724E+0","1.6843702866386565E+0","1.0219653125502100E+3","2.528017528540000E-5"
"1114","9.7871609159831330E-1","1.4119429767705279E-19","8.2837301406505275E-25","-6.0141959247373615E-17","7.5399579855449485E-3","-3.5401502767095120E-24","3.0035957705188001E+0","2.9972414736496815E+0","1.6846419546253060E+0","1.0204235322237000E+3","2.528017528540000E-5"
"1113","9.7868674030271874E-1","1.4119492804884935E-19","-7.3673722439898150E-25","8.4395754085559860E-16","7.7634104521972268E-3","-3.8010408798774229E-24","3.0035929000945800E+0","2.9977400660293205E+0","1.6849221955229385E+0","1.0188369617326000E+3","2.528017528540000E-5"
"1112","9.7865752102177084E-1","1.4119383850718426E-19","-5.6792643892083053E-25","-2.1224763944197148E-16","7.9866101132208163E-3","-7.7022003902305869E-25","3.0035899457082200E+0","2.9982539503694650E+0","1.6852110314832183E+0","1.0172058208132900E+3","2.528017528540000E-5"
"1111","9.7862843352469064E-1","1.4119386876442013E-19","1.1192230388267620E-24","-6.2436490603351118E-16","8.2095561151919842E-3","-7.9247990927393155E-25","3.0035869074869099E+0","2.9987831672291549E+0","1.6855084853029276E+0","1.0155303377232000E+3","2.528017528540000E-5"
"1110","9.7859947757509513E-1","1.4119349915474807E-19","-2.4935585041652439E-24","-3.8924057208103704E-16","8.4322475802455291E-3","-3.7368147871990273E-24","3.0035837855619700E+0","2.9993277583113276E+0","1.6858145804217923E+0","1.0138107487407900E+3","2.528017528540000E-5"
"1109","9.7857065293096512E-1","1.4119406364862286E-19","1.6727296795664072E-25","-7.7588581137424839E-16","8.6546836056531819E-3","4.0392020275239284E-24","3.0035805800689501E+0","2.9998877664616370E+0","1.6861293409218181E+0","1.0120472917605300E+3","2.528017528540000E-5"
"1108","9.7854195934462296E-1","1.4119683116416717E-19","2.0392288776007737E-24","-5.6757415514944429E-16","8.8768632634209435E-3","4.4325862056921189E-24","3.0035772911476402E+0","3.0004632356629064E+0","1.6864527915241723E+0","1.0102402164107500E+3","2.528017528540000E-5"
"1107","9.7851339656269198E-1","1.4119707989031557E-19","2.7890439008116400E-24","2.9593581765914248E-16","9.0987855998500705E-3","-5.6109227517103999E-25","3.0035739189421098E+0","3.0010542110332312E+0","1.6867849575881186E+0","1.0083897731718801E+3","2.528017528540000E-5"
"1106","9.7848496432606957E-1","1.4119741364017589E-19","-2.7633964445166281E-24","1.5005645819709727E-16","9.3204496351276585E-3","9.7462984167362317E-26","3.0035704636007901E+0","3.0016607388217764E+0","1.6871258651086545E+0","1.0064962211464100E+3","2.528017528540000E-5"
"1105","9.7845666236988704E-1","1.4119356685316600E-19","5.9199776008519258E-24","5.2633059066020549E-16","9.5418543628995357E-3","-1.8997179278855628E-24","3.0035669252764601E+0","3.0022828664043071E+0","1.6874755407139987E+0","1.0045598264466699E+3","2.528017528540000E-5"
"1104","9.7842849042347535E-1","1.4119237424832457E-19","-1.1791746309363934E-24","-3.5718991233504683E-16","9.7629987498358967E-3","-2.0582956722577988E-24","3.0035633041263701E+0","3.0029206422798755E+0","1.6878340116637292E+0","1.0025808602314800E+3","2.528017528540000E-5"
"1103","9.7840044821032479E-1","1.4119234905961328E-19","2.0292941796905013E-24","2.1879291859092240E-16","9.9838817352118671E-3","3.2189517413236498E-24","3.0035596003122200E+0","3.0035741160652738E+0","1.6882013058456653E+0","1.0005595989822400E+3","2.528017528540000E-5"
"1102","9.7837253544804437E-1","1.4119027028142926E-19","3.1272890397838342E-24","-5.9409071395343295E-16","1.0204502230467609E-2","-1.8579560994076571E-24","3.0035558140002698E+0","3.0042433384913720E+0","1.6885774517738106E+0","9.9849632755899700E+2","2.528017528540000E-5"
"1101","9.7834475184832170E-1","1.4118956362707689E-19","3.3957505911893027E-24","9.4866645337501846E-16","1.0424859118778711E-2","3.9161484493757995E-25","3.0035519453613402E+0","3.0049283613972828E+0","1.6889624785850710E+0","9.9639133282284195E+2","2.528017528540000E-5"
"1100","9.7831709711687587E-1","1.4119131071326645E-19","-2.3384313926585093E-24","3.6156791249825874E-16","1.0644951254616879E-2","1.7731018860404488E-24","3.0035479945708898E+0","3.0056292377251022E+0","1.6893564160363002E+0","9.9424491223199095E+2","2.528017528540000E-5"
"1099","9.7828957095341484E-1","1.4119294285757435E-19","-1.0156239380519673E-24","-7.7308383016459044E-16","1.0864777463310035E-2","-1.5763952167518578E-24","3.0035439618091000E+0","3.0063460215150859E+0","1.6897592945015882E+0","9.9205736728608599E+2","2.528017528540000E-5"
"1098","9.7826217305158858E-1","1.4119378384358098E-19","6.5702536081501230E-25","3.7580047090860528E-16","1.1084336540607354E-2","2.3120688647196454E-24","3.0035398472608699E+0","3.0070787678979265E+0","1.6901711449679206E+0","9.8982900255303605E+2","2.528017528540000E-5"
