"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1535","9.8915608716985226E-1","-2.7944192888900250E-25","1.1092405206427565E-1","-2.8840204159407149E-10","-1.3160887715572393E-2","4.9112605853373936E-9","3.1584445171530802E+0","7.1917070181717357E-1","3.1878347509929208E+0","1.0000116145702900E+0","1.215058560962404E-2"
"1534","9.8917476638875279E-1","-2.6005021972597237E-24","1.1120531044453502E-1","3.4490109794113780E-10","-1.3257242227703948E-2","-5.6936823405884433E-9","3.1578280196896702E+0","7.2173625190524038E-1","3.1992069463639043E+0","1.0000036847136899E+0","1.215058560962404E-2"
"1533","9.8919372348751877E-1","-3.1748556079401572E-25","1.1148717423089208E-1","9.7476373147857968E-10","-1.3354512493734537E-2","-1.6210124886757638E-8","3.1572128275764801E+0","7.2430898246113085E-1","3.2106109702629397E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1532","9.8921296178952534E-1","-1.4532612461702717E-24","1.1176962814562504E-1","-2.9196250477821301E-10","-1.3452705364100950E-2","4.8894994628812398E-9","3.1565989692724998E+0","7.2688875605923742E-1","3.2220462135298833E+0","1.0000095638241100E+0","1.215058560962404E-2"
"1531","9.8923248589455326E-1","3.6898666720852679E-25","1.1205267498464601E-1","2.4228695485908645E-10","-1.3551831708325773E-2","-3.9647127449705546E-9","3.1559864336753400E+0","7.2947560021799962E-1","3.2335127981444520E+0","1.0000000000000400E+0","1.215058560962404E-2"
"1530","9.8925229997887976E-1","2.8796883759777957E-25","1.1233631030581046E-1","1.8696593103489770E-10","-1.3651902606328344E-2","-3.0754003382126751E-9","3.1553752252528700E+0","7.3206947638268738E-1","3.2450105532068738E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1529","9.8927240832454355E-1","2.2816813958138086E-25","1.1262053029529433E-1","1.6452273794589901E-10","-1.3752928226988627E-2","-2.6638560622228727E-9","3.1547653469719701E+0","7.3467035172784412E-1","3.2565393332132637E+0","1.0000019965525500E+0","1.215058560962404E-2"
"1528","9.8929281528695234E-1","6.2326214562459214E-25","1.1290533126511550E-1","2.3109457823805412E-10","-1.3854919168903428E-2","-3.7245095513509566E-9","3.1541568013602199E+0","7.3727819458014743E-1","3.2680989977667494E+0","1.0000007973186300E+0","1.215058560962404E-2"
"1527","9.8931352514435078E-1","3.9047198110199495E-25","1.1319070756891081E-1","1.3932131216572021E-10","-1.3957885600748669E-2","-2.2107294961573098E-9","3.1535495949419201E+0","7.3989295532611143E-1","3.2796893269479219E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1526","9.8933454241937269E-1","-1.6886163895733096E-26","1.1347665606015257E-1","-1.8546784528403066E-10","-1.4061838660548068E-2","2.9961023899025388E-9","3.1529437287321498E+0","7.4251460724982588E-1","3.2913102023344010E+0","1.0000018909372199E+0","1.215058560962404E-2"
